#note_time|2.18
#song_time|4.00
#song_bpms|0202
0030|016|000|000 #note|beat|bpm|speed
0200|016|000|000
0030|016|000|000
0200|016|000|000
0034|008|000|000 ##
0030|016|000|000
0200|016|000|000
0030|008|000|000
0034|008|000|000 ##
0030|016|000|000
0200|016|000|000
0030|008|000|000
0034|008|000|000 ##
0000|004|000|000
0000|004|000|000
0000|004|000|000
0000|008|000|000
0030|016|000|000 ######################
0200|016|000|000
0030|016|000|000
0200|016|000|000
1004|008|000|000 ##
0030|016|000|000
0200|016|000|000
0030|008|000|000
1200|008|000|000 ##
0030|016|000|000
0200|016|000|000
0030|008|000|000
0034|008|000|000 ##
0000|004|000|000
0000|004|000|000
0000|004|000|000
0000|008|000|000
0030|016|000|000 ######################
0200|016|000|000
0030|016|000|000
0200|016|000|000
1200|008|000|000 ##
0030|016|000|000
0200|016|000|000
0030|008|000|000
0034|008|000|000 ##
0030|016|000|000
0200|016|000|000
0030|008|000|000
1004|008|000|000 ##
0000|004|000|000
0000|004|000|000
0000|004|000|000
0000|008|000|000
0030|016|000|000 ##############################
0200|016|000|000
0030|016|000|000
0200|016|000|000
0034|008|000|000 ##
0030|016|000|000
0200|016|000|000
0030|008|000|000
0034|008|000|000 ##
0030|016|000|000
0200|016|000|000
0030|008|000|000
0034|004|000|000 ##
0000|008|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0030|004|000|000
0034|008|000|000 ##################
0200|008|000|000
1000|008|000|000
0034|008|000|000
0200|008|000|000
1000|008|000|000
0034|008|000|000
0200|008|000|000 ##################
1200|008|000|000
0030|008|000|000
0004|008|000|000
1200|008|000|000
0030|008|000|000
0004|008|000|000
1200|008|000|000
0030|008|000|000
0034|008|000|000 ##################
0200|008|000|000
1000|008|000|000
0034|008|000|000
0200|008|000|000
1000|008|000|000
0034|008|000|000
1000|008|000|000
0230|008|000|000 ##########
0230|004|000|000
0030|016|000|000 ################
0200|016|000|000
1000|016|000|000
0200|016|000|000
0030|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
1000|016|000|000
0200|016|000|000
0030|016|000|000 ##################
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
1000|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000 ##################
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
1000|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000 ###################
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
1000|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0200|016|000|000
0030|016|000|000
1000|016|000|000
0034|008|000|000
0230|008|000|000
0000|008|000|000
1000|064|000|000
0200|064|000|000
0030|064|000|000
0004|064|000|000
0000|016|000|000
0000|008|000|000
1200|008|000|000
0200|012|000|000
0030|012|000|000
1000|012|000|000
0004|012|000|000
0030|012|000|000
1000|012|000|000
1034|008|000|000 ####################
0200|008|000|000
0234|008|000|000
1000|008|000|000
1204|008|000|000
0030|008|000|000
1230|008|000|000
0004|008|000|000
1034|008|000|000 ####################
